Metric,Direct XGBoost,Recursive XGBoost,SKForecast
Training Time (s),20.97830820083618,20.97830820083618,12.51852297782898
Prediction Time (s),0.1768500804901123,0.7544455528259277,0.0444025993347168
MAE,1333.8604579103737,2929.8328450520835,4528.2900797526045
RMSE,1763.4485552602675,3507.4361433763415,5111.21870637905
MAPE (%),4.785307440471286,12.56959619984378,19.439354337390945
